weekday,priority,hour,minutes
Lunes,1,9:00,30
Lunes,2,16:00,30
Lunes,3,18:00,10
Lunes,4,19:00,10
Lunes,5,20:00,5
Lunes,6,21:00,5
Martes,1,9:00,30
Martes,2,16:00,30
Martes,3,18:00,10
Martes,4,19:00,10
Martes,5,20:00,5
Martes,6,21:00,5
Miércoles,1,9:00,30
Miércoles,2,16:00,30
Miércoles,3,18:00,10
Miércoles,4,19:00,10
Miércoles,5,20:00,5
Miércoles,6,21:00,5
Jueves,1,9:00,30
Jueves,2,16:00,30
Jueves,3,18:00,10
Jueves,4,19:00,10
Jueves,5,20:00,5
Jueves,6,21:00,5
Viernes,1,9:00,30
Viernes,2,16:00,30
Viernes,3,18:00,10
Viernes,4,19:00,10
Viernes,5,20:00,5
Viernes,6,21:00,5
Sábado,1,9:00,30
Sábado,2,10:00,30
Sábado,3,14:00,30
Sábado,4,19:00,10
Sábado,5,20:00,5
Sábado,6,21:00,5
Domingo,1,10:00,30
Domingo,2,13:00,30
Domingo,3,14:00,30
Domingo,4,19:00,10
Domingo,5,20:00,5
Domingo,6,21:00,5
